REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
3/29/2016 4:58:37 PM,EVENING,THEFT/OTHER,OTHERS,4330 - 4350 BLOCK OF TEXAS AVENUE SE,6,603,7,7F,Cluster 33,009907 2,009907,Precinct 103,16048183,405023,135003,3/29/2016 4:05:19 PM,3/29/2016 4:10:04 PM
4/24/2016 8:15:48 PM,EVENING,THEFT/OTHER,OTHERS,4100 - 4309 BLOCK OF C STREET SE,6,603,7,7F,Cluster 32,007703 2,007703,Precinct 103,16064410,404702,135409,4/20/2016 12:30:42 PM,4/20/2016 1:00:39 PM
4/25/2016 4:13:52 PM,EVENING,THEFT/OTHER,OTHERS,2500 2609  BLOCK OF 34TH STREET SE,6,606,7,7B,Cluster 35,007603 3,007603,Precinct 110,16064425,403731,132306,4/24/2016 1:00:21 PM,4/24/2016 5:00:55 PM
4/24/2016 9:27:08 PM,EVENING,THEFT/OTHER,OTHERS,2500 2599  BLOCK OF PENNSYLVANIA AVENUE SE,6,605,7,7B,Cluster 34,007604 1,007604,Precinct 111,16064449,402603,133930,4/24/2016 9:09:32 PM,4/24/2016 9:15:44 PM
3/29/2016 9:33:05 PM,EVENING,THEFT F/AUTO,OTHERS,5100 - 5199 BLOCK OF LEE STREET NE,6,602,7,7C,Cluster 31,007806 1,007806,Precinct 93,16048320,406471,137425,3/27/2016 7:28:11 PM,3/29/2016 8:25:28 PM
3/29/2016 9:07:23 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,KNIFE,740 - 899 BLOCK OF KENILWORTH AVENUE NE,6,601,7,7D,Cluster 30,009602 1,009602,Precinct 100,16048337,404691,137003,3/29/2016 7:50:06 PM,3/29/2016 7:53:10 PM
3/29/2016 9:39:40 PM,EVENING,THEFT/OTHER,OTHERS,4644 - 4799 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,6,602,7,7C,Cluster 30,007804 1,007804,Precinct 98,16048351,405717,136799,3/29/2016 8:35:05 PM,3/29/2016 8:40:19 PM
3/29/2016 9:44:33 PM,EVENING,BURGLARY,OTHERS,3432 - 3599 BLOCK OF TEXAS AVENUE SE,6,605,7,7B,Cluster 34,009901 2,009901,Precinct 109,16048365,404040,133462,3/29/2016 8:44:32 PM,3/29/2016 9:44:13 PM
3/30/2016 12:16:54 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,100 - 199 BLOCK OF 36TH STREET NE,6,603,7,7F,Cluster 32,009603 3,009603,Precinct 102,16048405,404085,135978,3/29/2016 10:43:28 PM,3/29/2016 10:45:43 PM
4/7/2016 6:57:55 AM,MIDNIGHT,ROBBERY,GUN,4900 - 5199 BLOCK OF JUST STREET NE,6,608,7,7C,Cluster 31,007809 1,007809,Precinct 94,16053201,406189,137202,4/7/2016 5:48:04 AM,4/7/2016 5:58:38 AM
