REPORT_DAT,PSA
3/3/13 8:00,102
2/3/13 23:49,107
2/3/13 16:47,106
2/3/13 16:00,102
2/3/13 15:00,102
2/3/13 14:16,107
2/3/13 4:34,104
1/3/13 22:30,106
1/3/13 21:25,102
1/3/13 19:40,102
1/3/13 19:00,106
1/3/13 17:47,102
1/3/13 16:50,101
1/3/13 12:02,103
1/3/13 10:02,105
28/2/13 19:54,102
28/2/13 17:10,102
28/2/13 16:14,103
28/2/13 16:01,106
28/2/13 14:40,108
28/2/13 14:32,107
28/2/13 9:45,106
27/2/13 15:31,108
27/2/13 13:47,101
27/2/13 12:55,101
27/2/13 5:45,102
27/2/13 1:09,101
27/2/13 0:30,102
26/2/13 18:57,108
26/2/13 18:11,108
26/2/13 15:47,108
26/2/13 12:15,101
26/2/13 11:16,107
26/2/13 10:56,107
25/2/13 22:03,102
25/2/13 20:25,107
25/2/13 18:30,101
25/2/13 11:00,101
25/2/13 9:32,108
25/2/13 8:47,103
24/2/13 21:35,104
24/2/13 17:56,101
24/2/13 15:30,107
24/2/13 14:02,107
24/2/13 14:00,108
23/2/13 14:59,102
23/2/13 1:00,105
22/2/13 18:45,104
22/2/13 17:20,104
22/2/13 16:23,104
22/2/13 8:46,104
21/2/13 22:05,107
21/2/13 21:06,103
21/2/13 19:44,102
21/2/13 18:45,101
21/2/13 17:40,102
21/2/13 17:29,106
21/2/13 17:00,107
21/2/13 16:03,104
21/2/13 15:48,101
21/2/13 13:45,108
21/2/13 8:14,104
20/2/13 23:00,106
20/2/13 21:45,102
20/2/13 21:00,107
20/2/13 20:42,101
20/2/13 20:05,108
20/2/13 18:45,102
20/2/13 17:24,101
20/2/13 17:00,101
20/2/13 14:36,101
20/2/13 11:33,102
20/2/13 11:30,101
20/2/13 10:15,102
20/2/13 8:21,103
19/2/13 20:08,104
19/2/13 17:51,105
19/2/13 17:00,102
19/2/13 15:35,107
19/2/13 15:20,102
18/2/13 18:16,107
17/2/13 18:23,104
17/2/13 9:11,101
17/2/13 1:23,104
16/2/13 20:21,101
16/2/13 19:55,102
16/2/13 17:50,101
16/2/13 17:22,105
16/2/13 17:10,106
16/2/13 17:03,102
16/2/13 16:45,102
16/2/13 16:05,102
16/2/13 15:39,107
16/2/13 14:39,104
16/2/13 13:10,101
16/2/13 11:03,104
16/2/13 8:13,104
16/2/13 0:15,102
15/2/13 20:17,101
15/2/13 18:21,101
15/2/13 16:39,106
15/2/13 16:02,102
15/2/13 14:35,101
15/2/13 13:39,102
15/2/13 13:14,108
14/2/13 23:45,105
14/2/13 22:45,108
14/2/13 21:08,101
14/2/13 19:40,104
14/2/13 17:31,107
14/2/13 17:30,102
14/2/13 17:00,104
14/2/13 15:15,103
14/2/13 14:39,107
14/2/13 11:25,102
14/2/13 11:11,102
14/2/13 10:00,103
14/2/13 5:09,104
13/2/13 23:05,104
13/2/13 16:00,101
13/2/13 13:47,101
13/2/13 12:58,108
13/2/13 10:17,107
13/2/13 9:44,108
13/2/13 9:28,108
12/2/13 20:00,107
12/2/13 17:11,101
12/2/13 15:58,103
12/2/13 15:29,108
12/2/13 14:50,104
12/2/13 14:30,104
12/2/13 12:30,106
12/2/13 11:35,106
12/2/13 10:52,102
12/2/13 10:37,107
12/2/13 9:43,105
12/2/13 2:32,102
11/2/13 19:50,108
11/2/13 19:35,102
11/2/13 14:15,101
11/2/13 13:01,102
11/2/13 12:05,102
10/2/13 19:29,102
10/2/13 19:19,102
10/2/13 19:13,101
10/2/13 18:30,101
10/2/13 16:12,102
10/2/13 14:29,101
10/2/13 9:25,102
