REPORT_DAT,PSA,WARD,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
2315460,102,2,8,5800, 129,16124237,398185,136610,2197800,2302200
2313720,102,2,8,5800, 143,16124222,398315,136327,2310600,2310900
2313000,104,6,25,8301, 84,16124233,399759,136609,2308500,2308680
2310240,107,6,26,6900, 91,16124185,400846,134967,2308020,2308320
2310120,104,6,25,8402, 82,16124189,400930,136927,1359720,1684800
2309280,108,6,26,8002, 86,16124177,402017,136018,1954800,2021400
2307480,101,2,8,5800, 129,16124152,397746,136543,2302080,2307480
2307120,106,6,26,7100, 91,16124137,401147,134664,2303880,2307120
2305500,104,6,25,8302, 83,16124111,400233,136927,2303220,2305500
2302740,107,6,26,7000, 90,16401523,400589,134987,1104300,1104600
2302380,102,2,8,5800, 129,16124080,398186,137106,2296800,2300400
2302080,103,6,8,5900, 1,16124056,399029,136400,2289600,2294100
2298480,108,6,25,8001, 81,16401511,401092,136609,2221740,2223900
2298000,108,6,26,6802, 87,16401522,401543,135345,1940400,1963800
2292840,104,6,25,8301, 83,16123977,400088,136928,2291160,
2288460,108,6,25,8001, 81,16401512,401338,136696,2188800,2189400
2283360,104,6,25,8402, 82,16401509,400845,136697,658800,732000
2281980,105,6,9,6400, 127,16401507,399140,133852,1958460,2142000
2281260,104,6,25,8301, 84,16123849,399823,136542,2260140,2260320
2277900,102,2,8,5800, 143,16123854,398008,136402,2275380,2275620
2271720,108,6,25,8001, 81,16123821,401337,136394,2215800,2265300
2270820,101,2,8,10100, 129,16123822,397228,137253,2265600,2270820
2268900,101,2,8,5800, 129,16123818,397700,136611,2267460,
2266740,106,6,27,7200, 131,16123355,399622,134352,2206680,2208060
2256240,101,2,8,5800, 129,16123743,397834,136610,2244180,2248260
2253540,103,6,25,10600, 83,16123785,399351,137184,2242800,2251200
2238960,104,6,25,10600, 83,16123636,400437,137118,1850400,2188800
2234940,101,2,8,5800, 129,16123555,397654,136665,2222880,2222940
2234880,108,6,25,8001, 81,16123638,401213,136609,2209080,2211600
2234220,103,6,25,10600, 83,16123590,399489,137478,2059200,2113200
2230380,108,6,25,8001, 81,16123594,401213,136609,2211600,2211900
2225220,105,6,9,6400, 127,16123547,399009,133903,2217960,2225220
2218200,101,2,8,5800, 129,16123448,397700,136611,2216160,2218200
2211120,107,6,26,8200, 85,16401500,400436,135836,1937100,1938600
2206620,107,6,26,6700, 88,16401501,400734,135441,2037300,2124000
2200500,104,6,25,10600, 83,16123241,400436,137376,2133000,2188200
2196600,102,2,8,5800, 129,16123250,398098,136808,1958400,2174400
2192100,104,6,25,10600, 83,16401496,400437,136990,1548000,1582200
2185440,106,6,26,7100, 91,16123201,400790,134507,2180220,2185440
2178660,105,6,9,11000, 127,16123178,398747,134091,2173080,2178660
2172900,104,6,25,8302, 84,16123166,400212,136281,2170260,2172900
2164740,102,2,8,5800, 143,16123121,398185,136475,2142660,2158200
2162100,103,6,8,5900, 1,16123104,398989,136542,2155500,
2150280,104,6,25,8302, 83,16123017,400233,136927,2146200,2148000
2148600,101,2,8,5800, 129,16122971,397833,136476,2131800,2140800
2143320,101,2,8,10100, 129,16122982,397329.19,137185.6,2140980,2143200
2142420,101,2,8,5800, 129,16122974,397497,136718,2135100,2138400
2123940,107,6,26,6700, 88,16122809,400930,135440,2073600,2120400
2121480,106,6,27,7200, 131,16122794,399352,134192,2083320,2116800
2119260,101,2,8,10100, 129,16122777,397719,137315,2115300,
