REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/16/2016 2:21:22 PM,DAY,BURGLARY,OTHERS,3500 - 3599 BLOCK OF 19TH STREET SE,7,704,8,8B,Cluster 38,007409 3,007409,Precinct 116,16077818,402049,130741,5/16/2016 1:40:49 AM,5/16/2016 1:09:20 PM
5/16/2016 4:40:44 PM,EVENING,THEFT/OTHER,OTHERS,3400 - 3699 BLOCK OF 4TH STREET SE,7,707,8,8C,Cluster 39,009803 1,009803,Precinct 122,16077868,399950,130181,5/12/2016 2:00:07 PM,5/16/2016 2:00:45 PM
5/17/2016 2:32:37 PM,DAY,THEFT F/AUTO,OTHERS,1300 1899  BLOCK OF SOUTHERN AVENUE SE,7,706,8,8E,Cluster 38,,,Precinct 121,16077994,401637,129905,5/16/2016 4:20:40 PM,5/16/2016 5:16:53 PM
5/16/2016 6:01:28 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,3500 - 3599 BLOCK OF STANTON ROAD SE,7,704,8,8B,Cluster 38,007409 3,007409,Precinct 116,16078007,401830,130676,5/14/2016 2:00:26 PM,5/15/2016 4:00:09 PM
5/17/2016 12:32:18 AM,MIDNIGHT,BURGLARY,OTHERS,1700 1799  BLOCK OF MINNESOTA AVENUE SE,7,701,8,8A,Cluster 34,007601 4,007601,Precinct 133,16078110,401745,133453,5/6/2016 5:00:09 PM,5/16/2016 4:15:41 PM
5/16/2016 9:19:11 PM,EVENING,THEFT/OTHER,OTHERS,2 - 199 BLOCK OF GALVESTON STREET SW,7,708,8,8D,Cluster 39,010900 1,010900,Precinct 126,16078126,399228,128424,5/16/2016 7:54:45 PM,5/16/2016 7:55:55 PM
5/16/2016 10:38:43 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,3300 - 3399 BLOCK OF 10TH PLACE SE,7,705,8,8C,Cluster 39,007304 3,007304,Precinct 120,16078192,400691,130446,5/16/2016 9:09:45 PM,5/16/2016 9:12:28 PM
5/10/2016 7:47:41 AM,DAY,THEFT F/AUTO,OTHERS,3431 3599  BLOCK OF 13TH STREET SE,7,705,8,8C,Cluster 39,007304 3,007304,Precinct 120,16073938,400997,130281,5/10/2016 7:16:36 AM,5/10/2016 7:40:38 AM
5/17/2016 5:43:24 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,300 - 399 BLOCK OF ATLANTIC STREET SE,7,708,8,8D,Cluster 39,009811 1,009811,Precinct 125,16078300,399887,129241,5/16/2016 9:00:30 PM,5/17/2016 5:00:49 AM
5/17/2016 7:15:55 AM,DAY,THEFT F/AUTO,OTHERS,2200 - 2235 BLOCK OF RIDGE PLACE SE,7,701,8,8A,Cluster 34,007601 2,007601,Precinct 133,16078310,402297,133448,5/17/2016 12:00:28 AM,5/17/2016 6:30:09 AM
5/17/2016 1:38:08 PM,DAY,THEFT/OTHER,OTHERS,2702 - 2709 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,707,8,8C,,010400 2,010400,Precinct 119,16078445,400348,131219,5/10/2016 4:45:27 PM,5/11/2016 2:30:14 PM
5/17/2016 3:59:50 PM,EVENING,BURGLARY,OTHERS,3000 - 3099 BLOCK OF 30TH STREET SE,7,702,8,8B,Cluster 36,007408 1,007408,Precinct 115,16078559,403074,131528,5/17/2016 2:56:51 PM,5/17/2016 3:10:10 PM
5/17/2016 6:17:41 PM,EVENING,THEFT/OTHER,OTHERS,2400 - 2499 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,7,703,8,8A,Cluster 37,007401 1,007401,Precinct 119,16078673,400591,132715,5/17/2016 5:36:29 PM,5/17/2016 5:45:35 PM
5/11/2016 2:26:43 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,1400 - 1499 BLOCK OF CONGRESS PLACE SE,7,704,8,8E,Cluster 38,007404 2,007404,Precinct 117,16074524,401407,131005,5/11/2016 12:20:33 AM,5/11/2016 12:24:55 AM
5/11/2016 4:41:56 AM,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,1820 2099  BLOCK OF T STREET SE,7,701,8,8A,Cluster 34,007605 1,007605,Precinct 112,16074547,401990,133295,5/11/2016 3:33:23 AM,5/11/2016 3:43:18 AM
5/18/2016 4:03:10 AM,MIDNIGHT,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF GOOD HOPE ROAD SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16078925,401055,133271,5/18/2016 2:20:59 AM,5/18/2016 3:00:06 AM
5/18/2016 10:58:33 AM,DAY,MOTOR VEHICLE THEFT,OTHERS,2600 - 2799 BLOCK OF JASPER STREET SE,7,702,8,8B,Cluster 36,007408 1,007408,Precinct 115,16078959,402670,131549,5/17/2016 4:00:50 PM,5/18/2016 7:24:37 AM
5/11/2016 6:24:41 PM,EVENING,THEFT/OTHER,OTHERS,1 - 100 BLOCK OF CHESAPEAKE STREET SE,7,708,8,8D,Cluster 39,009810 2,009810,Precinct 126,16074886,399411,129045,5/11/2016 4:13:22 PM,5/11/2016 5:00:21 PM
5/11/2016 9:36:11 PM,EVENING,BURGLARY,OTHERS,20 - 199 BLOCK OF FORRESTER STREET SW,7,708,8,8D,Cluster 39,009807 2,009807,Precinct 126,16074966,399117,128601,5/11/2016 6:24:05 PM,5/11/2016 8:09:16 PM
5/18/2016 1:50:53 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,1900 2199  BLOCK OF SAVANNAH TERRACE SE,7,704,8,8E,Cluster 38,007403 1,007403,Precinct 116,16079128,402071,131148,5/16/2016 1:00:07 PM,5/18/2016 1:00:44 PM
5/18/2016 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,2300 - 2399 BLOCK OF MOUNT VIEW PLACE SE,7,703,8,8A,Cluster 37,007407 2,007407,Precinct 119,16079159,400789,132721,5/18/2016 12:35:19 PM,5/18/2016 12:45:39 PM
5/18/2016 2:54:32 PM,DAY,MOTOR VEHICLE THEFT,OTHERS,3000 - 3099 BLOCK OF 30TH STREET SE,7,702,8,8B,Cluster 36,007408 1,007408,Precinct 115,16079161,403074,131528,5/17/2016 3:30:34 PM,5/18/2016 3:30:21 AM
5/19/2016 9:36:08 AM,DAY,THEFT/OTHER,OTHERS,3400 - 3699 BLOCK OF 4TH STREET SE,7,707,8,8C,Cluster 39,009803 1,009803,Precinct 122,16079172,399950,130181,5/17/2016 4:35:54 PM,5/17/2016 4:45:19 PM
5/18/2016 3:39:50 PM,EVENING,MOTOR VEHICLE THEFT,OTHERS,1800 - 1899 BLOCK OF TRENTON PLACE SE,7,704,8,8B,Cluster 38,007409 3,007409,Precinct 116,16079179,401978,130800,5/16/2016 12:30:31 AM,5/18/2016 1:30:22 PM
5/18/2016 5:08:04 PM,EVENING,THEFT/OTHER,OTHERS,400 - 499 BLOCK OF MELLON STREET SE,7,707,8,8C,Cluster 39,010400 2,010400,Precinct 123,16079238,399910,131120,5/17/2016 3:43:15 PM,5/18/2016 3:00:59 PM
5/12/2016 8:18:10 AM,DAY,THEFT/OTHER,OTHERS,4200 - 4283 BLOCK OF 6TH STREET SE,7,706,8,8D,Cluster 39,009811 1,009811,Precinct 125,16075187,400130,128889,5/12/2016 7:40:38 AM,5/12/2016 8:17:46 AM
5/12/2016 9:48:55 AM,DAY,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF XENIA STREET SE,7,706,8,8E,Cluster 39,009801 1,009801,Precinct 121,16075235,400588,129470,5/12/2016 7:30:47 AM,5/12/2016 8:45:44 AM
5/19/2016 5:34:44 PM,EVENING,THEFT F/AUTO,OTHERS,3400 - 3699 BLOCK OF 4TH STREET SE,7,707,8,8C,Cluster 39,009803 1,009803,Precinct 122,16079818,399950,130181,5/19/2016 7:00:15 AM,5/19/2016 1:15:50 PM
